Year,Area,Site,meansst,sesst,meannpp,senpp,meanorbv,seorbv,meanwh,sewh,meanws,sews
2014,Point Buchon,MPA,17.46156513,0.209288483,1929.242189,215.7241837,241.4087069,19.24540729,1.494016984,0.03778589,12.96584434,0.248017502
2014,Point Buchon,REF,17.29429059,0.142139577,1632.617669,47.68392504,247.8358636,15.9371839,1.528055717,0.031820137,12.83581521,0.243158604
2015,Ano Nuevo,MPA,15.27004145,0.056616617,2252.117461,103.6038957,220.8917653,24.73265291,1.368796123,0.03869572,11.42831822,0.212325598
2015,Ano Nuevo,REF,15.30021431,0.080376347,2421.955676,175.3842759,210.08135,20.88410206,1.397805179,0.037774452,12.41950611,0.240744536
2015,Point Lobos,MPA,15.69783814,0.124747473,1600.390336,96.69689207,241.2239989,28.45187872,1.508065647,0.048617526,12.17520632,0.291308663
2015,Point Lobos,REF,16.00935375,0.156963403,1945.280406,255.3412918,246.7092683,25.02082594,1.545431081,0.043936766,11.5064174,0.252920391
2015,Piedras Blancas,MPA,16.71255662,0.095975147,1722.720463,55.61785537,257.3352908,17.86072508,1.525718545,0.024761032,14.40398545,0.098383804
2015,Piedras Blancas,REF,16.67832101,0.108607869,1605.986076,51.94464495,100.6560621,4.909489736,1.097271962,0.013937786,13.4425526,0.091729469
2015,Point Buchon,MPA,17.31382788,0.178553086,1632.026411,123.4012385,228.3467144,29.6219415,1.457149216,0.043567829,12.72959681,0.194710457
2015,Point Buchon,REF,17.48494868,0.126701329,1826.470283,107.1918906,235.8081578,26.2659915,1.485263165,0.039686039,12.95266428,0.203080979
2016,Ano Nuevo,MPA,13.56451384,0.156960024,1988.537372,111.0272937,322.9478854,23.24649383,1.776541367,0.056935201,12.87401985,0.252736582
2016,Ano Nuevo,REF,14.26390465,0.180576897,2367.607148,165.8828199,297.5476527,18.11619726,1.779733401,0.048868868,13.95369689,0.260376779
2016,Point Lobos,MPA,14.23967213,0.29875271,1787.496994,174.6374197,342.4250972,34.11335688,1.869572789,0.063799276,13.53746558,0.332993546
2016,Point Lobos,REF,14.42431807,0.266030236,2009.653872,311.6511764,355.4706053,31.66087499,1.946321017,0.060774075,13.10247708,0.278992864
2016,Piedras Blancas,MPA,14.28836134,0.079843515,1396.55278,33.44544083,355.2652851,19.14244564,1.843092516,0.032352914,14.72332351,0.054724484
2016,Piedras Blancas,REF,14.08059019,0.05505286,1780.713795,98.04156231,141.7089094,7.539890804,1.286357318,0.020709835,13.90629277,0.060887215
2016,Point Buchon,MPA,14.54303756,0.122462705,1872.663378,144.3386129,291.0479041,25.44109179,1.730039903,0.054146934,13.23981839,0.182386627
2016,Point Buchon,REF,14.76995765,0.073215495,1970.938172,50.82814752,299.371094,24.33478487,1.761949448,0.048580276,13.33127383,0.182114374
2017,Ano Nuevo,MPA,13.97630752,0.238728486,2672.16571,110.7160859,350.1354121,49.30866331,1.485415565,0.039102772,11.72078451,0.242587736
2017,Ano Nuevo,REF,13.82757545,0.253154867,2742.017581,209.4194156,305.9167954,31.41125315,1.521290634,0.033745555,12.47387785,0.30867382
2017,Point Lobos,MPA,13.87473221,0.220697463,2048.162753,191.3503223,374.8997888,50.87295008,1.623729024,0.045944681,12.18777132,0.414478266
2017,Point Lobos,REF,14.07781904,0.26576767,1835.684618,111.6328839,388.6666627,48.41817274,1.679706953,0.041755613,11.38846544,0.355370984
2017,Piedras Blancas,MPA,14.75005894,0.072428521,2395.042852,61.49621032,360.7157699,27.75916847,1.556935419,0.021501764,13.88252738,0.114542904
2017,Piedras Blancas,REF,14.64340049,0.057893273,2807.191702,86.96444062,134.8428899,8.965029193,1.130993831,0.015851529,13.34128905,0.123974142
2017,Point Buchon,MPA,15.38194453,0.125519197,2617.844609,168.6863284,292.7060784,31.70332741,1.484547537,0.036886042,12.46783702,0.299406685
2017,Point Buchon,REF,15.47358591,0.120106324,2884.049316,185.2188163,303.7445756,29.73316814,1.498620113,0.032515415,12.38072836,0.284458982
2018,Ano Nuevo,MPA,14.0602995,0.116818205,2308.443328,58.90063729,298.8502321,31.4131027,1.417429008,0.037069473,11.62105424,0.161854501
2018,Ano Nuevo,REF,13.39464048,0.305317772,2554.541886,174.2905649,277.9721283,27.2017822,1.477091676,0.03451817,12.13738295,0.197424726
2018,Point Lobos,MPA,14.54092159,0.175428716,1405.611295,107.1369187,297.9587773,33.65471958,1.641212551,0.044883724,11.81707268,0.270420367
2018,Point Lobos,REF,14.65227682,0.178788381,1508.799948,133.5521313,321.2812749,34.27523043,1.680431703,0.041390262,11.56672533,0.242684161
2018,Piedras Blancas,MPA,15.14614884,0.0725953,1783.860812,31.86120029,285.9332321,18.53292171,1.5083459,0.021088021,13.95080194,0.116069067
2018,Piedras Blancas,REF,15.09715239,0.059245537,2285.773307,88.02706603,111.7886731,5.868932842,1.065711816,0.011916324,13.57484671,0.116165
2018,Point Buchon,MPA,15.97505253,0.176757482,2532.079962,217.8694535,249.2981624,25.34228152,1.42908168,0.036895768,13.29490579,0.14249239
2018,Point Buchon,REF,15.90540657,0.108009992,2271.166716,72.21574796,260.1706799,23.92363426,1.447888862,0.032426538,13.33976752,0.141727979
2019,Ano Nuevo,MPA,13.33304172,0.113657678,2862.9326,132.237828,399.1948041,45.78914979,1.559174657,0.044699292,12.14651452,0.239195887
2019,Ano Nuevo,REF,13.75283265,0.132819489,3611.922075,207.1332205,343.493859,31.6022588,1.575542535,0.039880229,12.89251407,0.320577882
2019,Point Lobos,MPA,13.71007346,0.129401301,1589.415591,97.21605911,313.5386353,30.92255557,1.634268145,0.044360145,13.79296339,0.561079157
2019,Point Lobos,REF,13.92111891,0.141006223,2370.360529,213.0635031,328.2643625,26.76722184,1.687457263,0.041063208,13.40900322,0.45284592
2019,Piedras Blancas,MPA,14.15485449,0.039701158,2762.396622,46.54759172,338.8839188,20.15973855,1.611385116,0.021875598,14.81685995,0.075963121
2019,Piedras Blancas,REF,13.9104742,0.0582489,3253.420018,83.89370681,139.0373941,7.294404428,1.162676327,0.014606825,14.10927719,0.064742906
2019,Point Buchon,MPA,14.46603591,0.093674996,2907.200032,169.6428825,286.1015533,27.14523506,1.537343809,0.037848893,13.26878489,0.243117189
2019,Point Buchon,REF,14.77914764,0.067033634,3853.289195,91.20579033,296.3514706,23.93301572,1.560363623,0.030999321,13.21514203,0.235947124
